Descrizione Grezza,Descrizione Migliorata
installazione antivirus Kaspersky,Installazione dell'antivirus Kaspersky.
verifica backup Veeam,Verifica dei backup Veeam.
ripristino da backup Veeam,Ripristino di dati da un backup Veeam.
migrazione dati server su NAS,Migrazione dei dati del server su un archivio di rete (NAS).
aggiornamento PC segreteria,Aggiornamento del PC della segreteria.
installazione stampante ufficio vendite,Installazione di una stampante nell’ufficio vendite.
problema accesso posta Outlook,Risoluzione di un problema di accesso alla posta elettronica tramite Outlook.
aggiornamento Windows Server,Aggiornamento del sistema operativo Windows Server.
configurazione VPN aziendale,Configurazione di una VPN aziendale.
reset password utente,Reimpostazione della password di un utente.
creazione nuovo account email,Creazione di un nuovo account email.
Installazione pacchetto Office,Installazione del pacchetto Microsoft Office.
configurazione cellulare posta aziendale,Configurazione della posta aziendale su un telefono cellulare.
installazione certificato su server,Installazione di un certificato su un server.
formattazione PC laboratorio,Formattazione del PC del laboratorio.
installazione e configurazione nuovo router,Installazione e configurazione di un nuovo router.
verifica connessione internet sede,Verifica della connessione Internet nella sede.
aggiornamento firmware switch,Aggiornamento del firmware di uno switch di rete.
problema stampante rete,Risoluzione di un problema relativo a una stampante di rete.
aggiornamento sito web aziendale,Aggiornamento del sito web aziendale.
installazione driver stampante,Installazione di un driver per stampante.
configurazione account VPN utente,Configurazione di un account VPN per un utente.
installazione scanner dipartimento IT,Installazione di uno scanner per il dipartimento IT.
problema lentezza PC,Risoluzione di un problema di lentezza su un PC.
cfg rete wifi,Configurazione della rete Wi-Fi.
